airdcrc	airderc	['airdirc']
airderc-sa	airderca	['airdeirce']
airdercai	airderca	['airdeirce']
airdercus	airdircus	['airdircus']
airdi	aird	['aird']
airdib	airib	['aire']
airdirci	airdircid	['airdircid']
airdlius	airthius	['airthius']
airdmessa	airdmes	['airdmes']
airdmius	airthius	['airthius']
airdri	airdriu	['inairdriuch']
airdrí	ardrí	['ardrí']
airdrígh	airríge	['airríge']
aireccar	airecar	['airecar']
airecdai	airegda	['airegda (-ae)', 'airegda']
airechais	airechas	['airechas']
airechta	airechtae	['airechtae']
airechtus	airechtas	['airechtas']
airechus	airechas	['airechas']
airecor	airecar	['airecar']
airecrad	aircrad	['airacrad']
airee	aire	['aire']
airegdai	airegda	['airegda (-ae)', 'airegda']
airenech	airnech	['airne']
airenuch	airenach	['airenach']
airesin	airgsin	['airgsin']
aireur	airer	['airer']
airfedaib	aidedaib	['aided']
airfidig	airidig	['airgdech']
airfiti	airfitid	['airfitid']
airfitig	airfitid	['airfitid']
airfius	airḟius	['airis']
airfoichlech	airḟoichlech	['airḟoichlech']
airgdidib	airgdide	['airgdide']
airgdidú	airgdide	['airgdide']
airgfitir	airfitid	['airfitid']
airgit	airgid	['téit', 'oirgid']
airgiut	airiut	['for']
airgénus	airinnus	['airinnus']
airi	airm	['airm']
airicar	airecar	['airecar']
airichlis	airichlid	['ar-foichlea']
airichlit	airichlid	['ar-foichlea']
airicul	airecal	['airecal']
airie	aire	['aire']
airiges	airides	['airides']
airigesstar	airgestar	['oirgid']
airigestar	airgestar	['oirgid']
airigestár	airgestar	['oirgid']
airigh	airig	['airech']
airigi	airig	['airech']
airigmer	airmer	['airmer']
airigset	airget	['argat']
airim	airm	['airm']
airim-sa	airimda	['airimda']
airimhthe	oirighthe	['airigid']
airimtir	airigtid	['airitid']
airinach	airinech	['airenach']
airinig	airidig	['airgdech']
airinigh	airidig	['airgdech']
airinighi	aithnighi	['aithne']
airiniuch	ainiuch	['enech']
airinniuch	airinniud	['airinniud']
airinuch	airinech	['airenach']
airis-siu	airisiu	['airisiu']
airiseom	airisem	['airisem', 'ar-sissedar']
airisit	airisiu	['airisiu']
airithe	airite	['airite']
airitin	airiten	['airide']
airiu	airis	['airis', 'airisiu']
airiuc	airiusc	['árosc']
airiucht	airnocht	['airnocht']
airiugud	airiugad	['airiugad']
airiund	airiud	['airiud']
airiur	airiut	['for']
airlathar	airláthar	['airláthar']
airlechtai	airlechtae	['airlechtae', 'ar-slig']
airlesatar	aircestar	['ar-icc', 'aircestar']
airlestar	ailestar	['ailestar']
airlich	airlech	['airlech', 'ar-slig']
airliter	airlithir	['ad-gládathar']
airlither	airlithir	['ad-gládathar']
airlúachra	airlúachair	['airlúachair']
airmb	airm	['airm']
airmedaig	airdaig	['airdaig']
airmeud	airmed	['airmed']
airmgaiscid	airmaisid	['airmaisid']
airmgrit	airmiriu	['airmiriu']
airmgrith	airmaith	['airmaith']
airmid	aircid	['téit', 'ar-icc']
airmidin	airidin	['airide']
airmirgen	aimirgin	['amergin']
airmithir	airlithir	['ad-gládathar']
airri	airli	['airle']
airráilter	airrailter	['ar-áili']
airscéla	airscél	['airscél']
airsein	iarsin	['íar']
airsium	airsiu	['so']
airt	airm	['airm']
airthir	adirthir	['as-beir']
airthiu	airthius	['airthius']
airthiur	airthius	['airthius']
airtho	airthe	['airthe', 'airid']
aisc-siu	aircsiu	['aircsiu']
aiscc	aicc	['fidbocc', 'acc', 'ad-guid']
aisce	aice	['oc', 'aicce', 'aice', 'aicde']
aisceta	aisces	['ad-saig']
aisciss	ainciss	['ainces']
aisdir	aisder	['astar']
aisg	aiss	['aiss']
aislingi	aisling	['aislinge']
aislingiu	aislingid	['aislingid']
aisnethar	ainetham	['ainetham']
aisnéisea	aisndisnea	['aisnéis']
aisscid	aiscid	['aisicid', 'ad-saig', 'aiscid']
aisslinge	aislinge	['aislinge']
aithchéin	aithchin	['aithchin']
aithecan	aithechas	['aithechas']
aitherne	aithirne	['aithirne']
aitheroch	aitherruch	['aitherrach']
aitherroch	aitherruch	['aitherrach']
aitheruch	aitherruch	['aitherrach']
aithesse	aithisse	['aithis']
aitheth	aithet	['aithet']
aithgné	aithgne	['aithne']
aithgnéad	aithgnía	['aithgnía']
aithgén	aithgen	['aithgen']
aithiget	aithige	['aithigid']
aithigi	aitrigi	['aithrige']
aithin	aithi	['aithe']
aithir	aithiu	['áith']
aithirrach	aitherrach	['aitherrach']
aithirrech	aithirgech	['aithrigech']
aithiss	aithisse	['aithis']
aithiusc	aithesc	['aithesc']
aithleagtha	aithlegtha	['aithlegtha']
aithleghtha	aithlegtha	['aithlegtha']
aithli	aithlig	['athláech']
aithni	úaithni	['úaithne']
aithrigi	aitrigi	['aithrige']
aitiom	aitim	['etim', 'et(a)im']
aitiri	aitire	['aitire']
aitirib	aithris	['aithris']
aitiss	aiss	['aiss']
aitrib	airib	['aire']
al-leuth	allguth	['allguth']
alaib	acaib	['oc']
alaide	alaile	['aile']
alailie	alaili	['aile']
alaind	álaind	['álaind']
alainn	arainn	['áru']
alais	algais	['áilges']
alali	alaili	['aile']
alamaic	alamain	['alamu']
alaniach	alaich	['alaich']
alath	ulath	['ulaid']
albine	ailbine	['ailbín']
albo	albu	['albu']
alcuing	alchuing	['alchaing']
ald	and	['and(a)', 'i', 'ad-annai', 'an']
aldu	albu	['albu']
algen	aigen	['aigen']
ali	uli	['uile']
alind	asind	['a']
allaib	allaid	['allaid', 'allud']
alledh	allud	['allud']
alleth	alluth	['alluth']
allidii	ailidi	['ailide']
allmair	allmar	['allmar']
allmaraig	allmarach	['allmarach']
allmhurach	allmarach	['allmarach']
allmoir	alleoir	['aillóir']
allmuri	allmuir	['allmuir']
alltai	altai	['attlugud', 'ailid']
alltaib	ulltaib	['ailad', 'ulaid']
alludh	allud	['allud']
almaib	almain	['almain']
almi	alma	['alam']
aloind	aldind	['linn']
alpi	albi	['alam']
alpie	alpae	['albu', 'alpae']
alpuin	alpain	['albu']
altain	altai	['attlugud', 'ailid']
altarrach	atharrach	['aitherrach']
altchaín	airchaín	['airchaín']
altnidi	altnide	['ailtnide']
altroma	altruma	['altram(m)']
amaa	amal	['amal', 'samlaid', 'amail']
amad	amal	['amal', 'samlaid', 'amail']
amai	amal	['amal', 'samlaid', 'amail']
amaib	amail	['amail']
amalgaid	amlaid	['amlad', 'amlaid']
amanse	amainse	['féig']
amargin	amairgin	['amergin']
amargind	amairgin	['amergin']
amargine	amairgin	['amergin']
amaruch	amarach	['amarach']
amaráen	amorgen	['amergin']
amaulach	amulach	['amul(ch)ach']
ambrais	ambrail	['ambrail']
ambárach	imbárach	['bárach']
ambúach	amach	['immach']
amdabaid	amrasaid	['amrasaid']
amdar	andar	['dar']
amend	ameind	['amein']
amh	am	['is', 'aim', 'ain', 'imb', 'am', 'an']
amhail	amail	['amail']
amhain	ambain	['amáin']
amhlaid	amlaid	['amlad', 'amlaid']
amhlaidh	amlaid	['amlad', 'amlaid']
amhlaigh	athaigh	['athaig']
amhna	amha	['térnam']
amhoid	amdoid	['amdoid']
amhsainecht	amsainecht	['amsainecht']
amháin	amáin	['amáin']
amirgin	amairgin	['amergin']
amlabair	amlabar	['amlabar']
amles	aimles	['aimles']
amless	aimless	['aimless']
amloid	amlaid	['amlad', 'amlaid']
ammac	ammach	['immach']
ammuich	ammach	['immach']
ammull	ammus	['ammus', 'ad-midethar']
amnus	ammus	['ammus', 'ad-midethar']
amoig	amail	['amail']
amoil	amail	['amail']
amol	amal	['amal', 'samlaid', 'amail']
amp	am	['is', 'aim', 'ain', 'imb', 'am', 'an']
amraide	amraid	['aimréid']
amraie	amraid	['aimréid']
amro	amra	['abra']
amræ	amra	['abra']
amréir	aimréir	['aimríar']
amsir	aimsir	['aimser']
amte	amae	['amae']
