Gegra	Gegra,Mesgegra,Géadhra,Meis-Géadhra
Mess	Mes,Mess,Meis
Roída	Roídia,Roda,Roída
Mianach	Mianach
Anaidgned	Anaidgned
Mend	Mend,Mind,Miunn
Mongán	Mongán
Morand	Morand,Morann
Mornae	Mornae,Mornai
Mórrígan	Mórrígan,Morrignai,Mórrígan,Mórrígna,Mórígna
Muinremur	Muinremur,Muinremair,Muinremar,Muinremhar,Muinremor,Muinremuir
Muirchertach	Muirchertach,Murchertaig
Murethach	Murethach,Muridac,Muiredach,Muiredaig
Murgen	Murgen,Murgein
Máenén	Máenén
Máta	Máta
Méthe	Méthe,Méithe
Móin	Móin
Nad	Nad,Nath
Crandtail	Crandtail,Chrantail,Crantail
Naoise	Naoise
Ness	Ness,Neasa,Nesa,Nessa
Nera	Nera
Natrebuin	Natrebuin
Chró	Chró
Nia	Nia
Niamglonnach	Niamglonnach
Niall	Niall,Néill
Scéne	Scéne,Scéni,Scene
Nechtan	Nechta,Nechtan
Ollgáeth	Ollgáeth,Ollgaeth
Órlám	Órláim,Órlám
Faitheman	Faithemain,Faitheman
Rochad	Rochad,Rochaid,Rochada
Rigderg	Rigderg
Reordae	Reordae
Cáinte	Cáinte
Redg	Redg
Reúin	Reúin,Reúin
Riches	Riches,Richis
Roech	Roech,Roich,Róich,Róig
Ruad	Ruad,Ruaid,Rvad
Ríangabair	Ríangabair,Ríangabra
Rígamus	Rígamus
Róan	Róan
Sencha	Senca,Sencha,Sencha Mór,Senchan,Senchae,Sencuo,Senqhu,Senqu
Senach	Senach,Senach
Síaborthe	Síaborthe
Arad	Arad
Senláech	Senláech
Scáthach	Scáthach,Sgathaich,Scathach,Scathaich,Scathaig,Scathce,Scathqu,Scáithchi,Scáthach,Scáthaich,Sgathach,Sgathach,Sgathaich,Sgáthach,Sgáthaigh
Siaburchend	Siaburchend
Scenmend	Scenmend
Simón	Simón
Sinand	Sinand,Sinnaind
Sualtam	Súaltam,Súaltaim,Soaltaim,Sualtam,Sualtaim,Súaldaim,Súaltaim
Sárán	Sárán
Tailtiu	Tailtiu,Taltin,Thaillten
Tamuin	Tamuin
Drúith	Drúith
Traiglethan	Traiglethan,Traiglethain
Traigthrén	Traigthrén
Triath	Triath
Triscatail Trénfher	Triscatail Trénfher,Trisgatail Trénfher
Triscoth	Triscod,Triscoth
Uathach	Uathach,Uathaigh,Vathach
Ugaine	Ugaine,Ugaine,Úgaine,Ughaine
Uisliu	Uisneach,Uisnig,Usnech,Uisliu
Uhtechar	Uthechar,Uithechair
Uma	Uma
Úar	Úair,Úar
Galmáir	Galmáir
Úaithne	Úaithne,Úaithni
Úalu	Úalu,Úaland
Úanchend	Úanchend Arritech,Úanchend
Donn	Dond,Donn,Duind
Bó	Bó,Báu,Bū
Boirche	Boirche
Findbeannach	Findbeannach,Finnbhennach,Finnbennach,Finnbeunnach
Ailbe	Ailbe
Aird	Aird
Echdi	Echdi
Airgdech	Airgdig,Airgdech,Airidech,Airidig
Albu	Albu,Albain,Alpain,Alban,Alpan,Alba,Alpa,Albain,Albae,Albe,Alpe,Alpae
Áth	Ath,Atha,Áth,Átha
Imfhoid	Imfhoid,n-Imfhoid
Ferta	Ferta
Clíath	Clíath
Cuillne	Cuillne
Grencha	Grencha
Lethan	Lethan
Lúain	Lúain
Tamuin	Tamuin
Tolam	Tolam
Traiged	Traiged
Bregmag	Bregmag,Bregmaige,Bregmaig
Mag	Mag,Maige,Muigi,Maigi,Maig
Muirthemne	Murthemne,Murteme,Murthemni,Murthemne,Murtimni
Óc	Óc,Óac,Óg,Óicc,Ócc,Óc,Oac,Óic
Brú	Brú,Broga,Brú,Bruig,Brug,Bhrú,Bruga,
Broinfeirtsib	Broinfeirtsib
Broine	Broine
Chachta	Chachta
Cairn	Cairn
Cill	Cill,Cille,Cilli,Chilli,Cell
Daigri	nDaigri,Daigri
Crúachu	Crúachu,Crūachna,Crúacha,Crúachain,Crúachna,Cruachan,Crūachain,Crúachanráith,Cruachan-maig,Chruachain,Cruachain,Chrúachan,Chrúachn,Cruachain,Cruachna,Cruachnaibaib,Crvachnai,Crúachan,Crúachnaib,
